ID,Content,Label,Sentiment
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,祝福當選新北市長巧慧市長你好，巧慧市長有智慧，南無阿彌陀佛。,DPP_Su,Positive
13,,,
14,,,
15,,,
16,,,
17,我才不相信蘇巧慧輸了，蘇巧慧加油,DPP_Su,Positive
18,,,
19,,,
20,,,
21,台灣人支持台灣人的蘇巧慧,DPP_Su,Positive
22,,,
23,,,
24,,,
25,支持蘇巧慧,DPP_Su,Positive
26,,,
27,我支持蘇巧慧加油,DPP_Su,Positive
28,,,
29,支持阿慧,DPP_Su,Positive
30,,,
31,,,
32,,,
33,唯一支持蘇市長,DPP_Su,Positive
34,,,
35,李四川輸蘇巧慧,DPP_Su,Positive
36,,,
37,被他贏全民拿掃把了吧,DPP_Su,Negative
38,,,
39,輸翹會，不配,DPP_Su,Negative
40,李四川加油加油,KMT_Lee,Positive
41,,,
42,,,
43,,,
44,,,
45,,,
46,蘇委員加油，我們身為新北人，祈盼新希望,Other,Positive
47,,,
48,,,
49,,,
50,,,
51,,,
52,新北市長唯-支持蘇巧慧，加油。,DPP_Su,Positive
53,,,
54,逆轉勝，蘇巧慧立委一戰成名.,DPP_Su,Positive
55,,,
56,,,
57,,,
58,,,
59,新北唯一支持 四川伯,KMT_Lee,Positive
60,新北唯一支持,KMT_Lee,Positive
61,四川伯,KMT_Lee,Positive
62,,,
63,李四川大勝利,KMT_Lee,Positive
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,輸真慘的女兒 會蘇 更慘！,DPP_Su,Negative
72,輸真慘的女兒,DPP_Su,Negative
73,會蘇 更慘！,DPP_Su,Negative
74,,,
75,新北市民，一定要選李四川當市長，他為人正派腳踏實地，認真努力為市民做更好的市政，有他當新北市長，是市民的福氣,KMT_Lee,Positive
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,騙神的後代沒人會支持,DPP_Su,Negative
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,爸爸騙神明，女兒騙選民！,DPP_Su,Negative
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,支持川伯當選新北市長。,KMT_Lee,Positive
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,黃國昌呢？好想知道國昌老師有幾%,TPP_Huang,Positive
108,,,
109,,,
110,,,
111,新北市民全力挺川伯！謝謝提醒！,KMT_Lee,Positive
112,,,
113,,,
114,,,
115,,,
116,,,
117,支持李四川加油,KMT_Lee,Positive
118,,,
119,,,
120,,,
121,賴品妤輸 蘇巧慧也輸,DPP_Su,Negative
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,老的騙神小的騙人,DPP_Su,Negative
132,,,
133,蘇巧慧的勝算恐怕較高喔！,DPP_Su,Positive
134,,,
135,,,
136,蘇巧慧需要鄭麗文幫忙，鄭麗文繼續舔中嚇走中間選民,DPP_Su,Positive
137,,,
138,,,
139,,,
140,,,
141,,,
142,新北唯一支持努力打拼承擔重責的川伯、拒絕綠蛆權貴打屁混的富二代！,KMT_Lee,Positive
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,牠爸爸騙了神明嗎？ 牠女兒要騙選民嗎？,DPP_Su,Negative
151,牠爸爸騙了神明嗎？,DPP_Su,Negative
152,牠女兒要騙選民嗎？,DPP_Su,Negative
153,,,
154,,,
155,,,
156,,,
157,,,
