ID,Content,Label,Sentiment
1,祝福當選新北市長巧慧市長你好，巧慧市長有智慧，南無阿彌陀佛。,DPP_Su,Positive
2,我才不相信蘇巧慧輸了，蘇巧慧加油,DPP_Su,Positive
3,台灣人支持台灣人的蘇巧慧,DPP_Su,Positive
4,支持蘇巧慧,DPP_Su,Positive
5,我支持蘇巧慧加油,DPP_Su,Positive
6,支持阿慧,DPP_Su,Positive
7,唯一支持蘇市長,DPP_Su,Positive
8,李四川輸蘇巧慧,DPP_Su,Positive
9,被他贏全民拿掃把了吧,DPP_Su,Negative
10,輸翹會，不配,DPP_Su,Negative
11,李四川加油加油,KMT_Lee,Positive
12,蘇委員加油，我們身為新北人，祈盼新希望,Other,Positive
13,新北市長唯-支持蘇巧慧，加油。,DPP_Su,Positive
14,逆轉勝，蘇巧慧立委一戰成名.,DPP_Su,Positive
15,新北唯一支持 四川伯,KMT_Lee,Positive
16,新北唯一支持,KMT_Lee,Positive
17,四川伯,KMT_Lee,Positive
18,李四川大勝利,KMT_Lee,Positive
19,輸真慘的女兒 會蘇 更慘！,DPP_Su,Negative
20,輸真慘的女兒,DPP_Su,Negative
21,會蘇 更慘！,DPP_Su,Negative
22,新北市民，一定要選李四川當市長，他為人正派腳踏實地，認真努力為市民做更好的市政，有他當新北市長，是市民的福氣,KMT_Lee,Positive
23,騙神的後代沒人會支持,DPP_Su,Negative
24,爸爸騙神明，女兒騙選民！,DPP_Su,Negative
25,支持川伯當選新北市長。,KMT_Lee,Positive
26,黃國昌呢？好想知道國昌老師有幾%,TPP_Huang,Positive
27,新北市民全力挺川伯！謝謝提醒！,KMT_Lee,Positive
28,支持李四川加油,KMT_Lee,Positive
29,賴品妤輸 蘇巧慧也輸,DPP_Su,Negative
30,老的騙神小的騙人,DPP_Su,Negative
31,蘇巧慧的勝算恐怕較高喔！,DPP_Su,Positive
32,蘇巧慧需要鄭麗文幫忙，鄭麗文繼續舔中嚇走中間選民,DPP_Su,Positive
33,新北唯一支持努力打拼承擔重責的川伯、拒絕綠蛆權貴打屁混的富二代！,KMT_Lee,Positive
34,牠爸爸騙了神明嗎？ 牠女兒要騙選民嗎？,DPP_Su,Negative
35,牠爸爸騙了神明嗎？,DPP_Su,Negative
36,牠女兒要騙選民嗎？,DPP_Su,Negative
37,支持蘇巧慧,DPP_Su,Positive
38,我支持蘇巧慧加油,DPP_Su,Positive
39,支持阿慧,DPP_Su,Positive
40,支持蘇巧慧,DPP_Su,Positive
41,我支持蘇巧慧加油,DPP_Su,Positive
42,支持阿慧,DPP_Su,Positive
43,支持蘇巧慧,DPP_Su,Positive
44,我支持蘇巧慧加油,DPP_Su,Positive
45,支持阿慧,DPP_Su,Positive
46,新北唯一支持 四川伯,KMT_Lee,Positive
47,新北唯一支持,KMT_Lee,Positive
48,四川伯,KMT_Lee,Positive
49,李四川大勝利,KMT_Lee,Positive
50,支持蘇巧慧,DPP_Su,Positive
51,我支持蘇巧慧加油,DPP_Su,Positive
