ID,Content,Label,Sentiment
1,,,
2,,,
3,民眾黨真的未來可期 年輕票好多,TPP_Huang,Positive
4,哈哈，綠綠在年輕人的票真的倒了，不要以為你們做什麼都能被黨媒洗掉。,DPP_Su,Negative
5,,,
6,我是國民黨的 但若是藍白合是由民眾黨出線我也絕對支持到底 藍白都加油,KMT_Lee,Positive
7,我是國民黨的 但若是藍白合是由民眾黨出線我也絕對支持到底 藍白都加油,TPP_Huang,Positive
8,台灣最大黨-討厭民進黨,DPP_Su,Negative
9,其實黃國昌不適合當地方父母官！ 他適合當法務部長！,TPP_Huang,Negative
10,,,
11,,,
12,,,
13,蘇巧慧爸爸是蘇貞昌就已經把分數扣光了,DPP_Su,Negative
14,基本上，2026的目標，就是讓萊爾校長繼續輸就對了。,DPP_Su,Negative
15,我是支持國昌老師的 但感覺這份民調真的太快樂了嗚嗚,TPP_Huang,Positive
16,1:58  好笑.... 蘇貞昌講話就不大聲？去看看他在院會反質詢的態度和聲量，囂張的勒,DPP_Su,Negative
17,巧慧在鶯歌樹林做得很好，基層實力很紮實。,DPP_Su,Positive
18,,,
19,支持蘇巧慧，新北需要有經驗的女性領導人。,,
20,,,
21,傳承衝衝衝的精神，蘇巧慧準備好了！,,
22,,KMT_Lee,Positive
23,新北女兒蘇巧慧，唯一支持。,,
24,對李四川無感，國民黨新北沒人才了嗎？,KMT_Lee,Negative
25,看到咆哮哥就煩，新北不要這種製造衝突的人,TPP_Huang,Negative
26,,,
27,蘇巧慧當新北市長很恐怖，因爲就會每天會看到蘇貞昌，超超噁心的ㄟ！,DPP_Su,Negative
28,,,
29,李四川就是個高級公務員，完全沒有領袖魅力,KMT_Lee,Negative
30,希望國昌老師可以成為新北最好的選項,TPP_Huang,Positive
31,,,
32,國昌老師很優秀,TPP_Huang,Positive
33,,,
34,,,
35,看民進黨一直攻擊黃國昌，就知道民進黨比較怕黃，一定要讓黃國昌當選，好好教訓民進黨,TPP_Huang,Positive
36,,,
37,我外國人，我支持黃國昌！,TPP_Huang,Positive
38,,,
39,川伯的 市政經歷遠遠超過 其他兩位,KMT_Lee,Positive
40,川伯加油！工仔人投給工仔人！！！！！,KMT_Lee,Positive
,勝不離川 敗不離昌 這兩位比較有機會,TPP_Huang,Positive
41,勝不離川 敗不離昌 這兩位比較有機會,KMT_Lee,Positive
42,那位投蘇巧慧的發言 一聽就知道是看三立民視的受眾.,DPP_Su,Negative
43,智慧高選國昌老師.眼睛清高就會選新北國昌.,TPP_Huang,Positive
44,李四川肯做事 肯服務市民 我們支持正派肯為市民服務的李四川,KMT_Lee,Positive
45,,,
46,,,
47,,,
48,蘇貞昌？傳承？我笑了.... 一起拿掃把吧！,DPP_Su,Negative
49,川哥讚加油加油加油,KMT_Lee,Positive
50,捲毛熊跟青鳥讓年輕人遠離綠,DPP_Su,Negative
51,,,
52,唯一支持李四川,KMT_Lee,Positive
53,,,
54,,,
55,,,
56,,,
57,黃國昌適合法務部長,TPP_Huang,Negative
58,,,
59,川伯專業推，新北建設交給專業的才放心。,KMT_Lee,Positive
60,,,
61,李四川沉穩內斂，不作秀才是我們要的市長。,KMT_Lee,Positive
62,,,
63,國民黨只有川伯能贏，專業工程背景無人能敵。,KMT_Lee,Positive
64,,,
65,支持川伯，把高雄的建設經驗帶來新北。,KMT_Lee,Positive
66,,,
67,,,
68,,,
69,,,
70,非昌不投好帥氣。,TPP_Huang,Positive
71,不是，一張黃國昌的票會投給綠 這什麼鬼,DPP_Su,Negative
72,,,
73,,,
74,,,
75,,,
