ID,Content,Label,Sentiment
1,民眾黨真的未來可期 年輕票好多,TPP_Huang,Positive
2,哈哈，綠綠在年輕人的票真的倒了，不要以為你們做什麼都能被黨媒洗掉。,DPP_Su,Negative
3,我是國民黨的 但若是藍白合是由民眾黨出線我也絕對支持到底 藍白都加油,KMT_Lee,Positive
4,我是國民黨的 但若是藍白合是由民眾黨出線我也絕對支持到底 藍白都加油,TPP_Huang,Positive
5,台灣最大黨-討厭民進黨,DPP_Su,Negative
6,其實黃國昌不適合當地方父母官！ 他適合當法務部長！,TPP_Huang,Negative
7,蘇巧慧爸爸是蘇貞昌就已經把分數扣光了,DPP_Su,Negative
8,基本上，2026的目標，就是讓萊爾校長繼續輸就對了。,DPP_Su,Negative
9,我是支持國昌老師的 但感覺這份民調真的太快樂了嗚嗚,TPP_Huang,Positive
10,1:58  好笑.... 蘇貞昌講話就不大聲？去看看他在院會反質詢的態度和聲量，囂張的勒,DPP_Su,Negative
11,巧慧在鶯歌樹林做得很好，基層實力很紮實。,DPP_Su,Positive
12,對李四川無感，國民黨新北沒人才了嗎？,KMT_Lee,Negative
13,看到咆哮哥就煩，新北不要這種製造衝突的人,TPP_Huang,Negative
14,蘇巧慧當新北市長很恐怖，因爲就會每天會看到蘇貞昌，超超噁心的ㄟ！,DPP_Su,Negative
15,李四川就是個高級公務員，完全沒有領袖魅力,KMT_Lee,Negative
16,希望國昌老師可以成為新北最好的選項,TPP_Huang,Positive
17,國昌老師很優秀,TPP_Huang,Positive
18,看民進黨一直攻擊黃國昌，就知道民進黨比較怕黃，一定要讓黃國昌當選，好好教訓民進黨,TPP_Huang,Positive
19,我外國人，我支持黃國昌！,TPP_Huang,Positive
20,川伯的 市政經歷遠遠超過 其他兩位,KMT_Lee,Positive
21,川伯加油！工仔人投給工仔人！！！！！,KMT_Lee,Positive
22,勝不離川 敗不離昌 這兩位比較有機會,TPP_Huang,Positive
23,勝不離川 敗不離昌 這兩位比較有機會,KMT_Lee,Positive
24,那位投蘇巧慧的發言 一聽就知道是看三立民視的受眾.,DPP_Su,Negative
25,智慧高選國昌老師.眼睛清高就會選新北國昌.,TPP_Huang,Positive
26,李四川肯做事 肯服務市民 我們支持正派肯為市民服務的李四川,KMT_Lee,Positive
27,蘇貞昌？傳承？我笑了.... 一起拿掃把吧！,DPP_Su,Negative
28,川哥讚加油加油加油,KMT_Lee,Positive
29,捲毛熊跟青鳥讓年輕人遠離綠,DPP_Su,Negative
30,唯一支持李四川,KMT_Lee,Positive
31,黃國昌適合法務部長,TPP_Huang,Negative
32,川伯專業推，新北建設交給專業的才放心。,KMT_Lee,Positive
33,李四川沉穩內斂，不作秀才是我們要的市長。,KMT_Lee,Positive
34,國民黨只有川伯能贏，專業工程背景無人能敵。,KMT_Lee,Positive
35,支持川伯，把高雄的建設經驗帶來新北。,KMT_Lee,Positive
36,非昌不投好帥氣。,TPP_Huang,Positive
37,不是，一張黃國昌的票會投給綠 這什麼鬼,DPP_Su,Negative
38,李四川非常專業，高雄副市長、新北、台北副市長，經驗豐富，又專業、認真，不可多得的人才，如果李四川是新北市長是人民的服氣。,KMT_Lee,Positive
39,衝衝衝傳承給蘇巧慧?  這是什麼清朝發言，現在新北市長是世襲制是不是?,DPP_Su,Negative
40,新北市三角督 民進黨贏 藍白合 黃國昌或李四川一定贏。希望新北讓黃國昌出來選,TPP_Huang,Positive
41,大家有發現嗎？要投那個蘇巧慧的人都說不出個所以然轉頭就走……,DPP_Su,Negative
42,我也是新北人 真的新北變好一定要好好投票 國昌老師是最優選擇 他曾經幫消防弟兄勞工朋友還有運動員朋友發聲也常常揭弊那些濫用納稅人的錢的不肖廠商 總是站在人民的角度去想 讓他當市長新北一定會更好,TPP_Huang,Positive
43,有稍年長者支持國昌老師會很感動,TPP_Huang,Positive
44,大家能多看看黃國昌在立法院做什麼，一個很努力有理想的政治家現在很少見，希望大家能讓黃國昌有更大舞台,TPP_Huang,Positive
45,宜蘭人支持為國家做事的黃國昌主席加油新北市民,TPP_Huang,Positive
46,國昌贏也 讚唷,TPP_Huang,Positive
47,看到這個頻道 按讚的人只有 1100多位還算少吧 希望能按讚到 一百萬 國昌穩當選新北市長,TPP_Huang,Positive
48,太帥惹國蔥老師,TPP_Huang,Positive
49,我以前看黃國昌也蠻討厭的，，因為我知道他骨子裡是綠的，跟柯p一樣，因為從他們以前質詢國民黨官員的態度就知道，相當苛刻。可是自從政黨輪替後，發現黃始終如一，才發現他是真的堅持理想的人，如果有機會能在路上遇到並有握手的機會的話，為我的誤會跟他道歉。,TPP_Huang,Positive
50,國昌老師 上車囉～！🩵🇹🇼🩵,TPP_Huang,Positive
51,得到蘇貞昌的傳承工三小,DPP_Su,Negative
52,黃國昌好棒 嗚嗚 希望新北人都清醒,TPP_Huang,Positive
53,"2026年新北市市長：李四川 一定要贏、四川了末來、基礎建設,",KMT_Lee,Positive
54,黃國昌讚！理念正義真實在，為臺灣人民作戰保衛國家有實務必勝,TPP_Huang,Positive
55,新北選黃國昌才有活力，不然還是走回頭路！,TPP_Huang,Positive
56,居然來到我家附近，我們全家6票唯一支持國蔥老師,TPP_Huang,Positive
57,謝謝製作影片分享。 辛苦了！  黃國昌先生加油！  祝無良的媒體、 無良的人、 司法垃圾， 早日得到報應！  理性  務實  科學  心存善念 盡力而為  天佑台灣。 祝台灣更加美好！,TPP_Huang,Positive
58,國民黨執政太久了⋯⋯,KMT_Lee,Negative
59,看得出來，年輕人支持黃國昌，年老的支持李四川,KMT_Lee,Positive
60,看得出來，年輕人支持黃國昌，年老的支持李四川,TPP_Huang,Positive
61,蘇巧慧請回家跟爸爸搶掃把,DPP_Su,Negative
62,支持戰神國昌老師,TPP_Huang,Positive
63,新北國昌老師,TPP_Huang,Positive
64,我的話當然是蔥哥，蔥哥邏輯好，又正義,TPP_Huang,Positive
65,希望能一個當市長一個當副市長實現藍白合,KMT_Lee,Positive
66,希望能一個當市長一個當副市長實現藍白合,TPP_Huang,Positive
67,你如果有智慧的話，應該選李四川，因爲李四川一直作事情都非常認真，而且是專業人士，非常棒。,KMT_Lee,Positive
68,輸巧慧有辦法超越他爸爸嗎？騙神的部分,DPP_Su,Negative
69,支持國昌老師,TPP_Huang,Positive
70,現在的年輕人，都很有智慧了 開始選有能力而不是顏色了 所以年輕人選黃國昌的才比較多 李四川不是不好，他也有很豐富的實務經驗 但李四川可惜就是在於，他基本上還是政黨優先 當年為了攻擊柯文哲，把大巨蛋說成甚麼樣子 說柯文哲害大巨蛋不能開演唱會，結果半年不到，周杰倫去唱了 很明顯就是為了政治攻防說的話，不相信的話，我找新聞標題給你  大巨蛋辦演唱會恐卡關 李四川：被柯市府綁死 2024/5/31 （6/12  更新）  周杰倫4場大巨蛋演唱會落幕！喊「下一次別再隔7年」 歌迷淚崩不肯離場 周刊王CTWANT |薛羽彤 更新時間2024年12月9日,TPP_Huang,Positive
71,傳承她爸的貪污,DPP_Su,Negative
72,支持川伯,KMT_Lee,Positive
73,台中人，但我支持黃國昌征戰新北市長。,TPP_Huang,Positive
74,蘇家的傳承就是貪污,DPP_Su,Negative
75,民眾黨加油永遠支持,TPP_Huang,Positive
76,國昌老師真的很棒 拜託大家支持,TPP_Huang,Positive
77,其實我原本對蘇巧慧沒啥意見的，不過看過幾場他在立法院的質詢，我真的不懂她到底在幹嘛 加上他老爸當上行政院長之後的那個嘴臉，印象差上加差...,DPP_Su,Negative
78,青鳥要崩潰了嗎,DPP_Su,Negative
79,我是新北人，我支持黃國昌，因為國蔥老師做事認真，總是能抓住重點解決問題、心繫民眾會替人民著想，不選李四川的原因是因為他太守本分，不會有所突破，就跟現在的侯市長一樣，平平無奇，這對新北市來說不會有太大的進步，民進黨的不用說了，甲賽啦,KMT_Lee,Positive
80,國昌老帥就是帥.哈哈哈哈,TPP_Huang,Positive
81,拜託不要巧克力，景氣不好快生活不下去了,DPP_Su,Negative
82,只投國昌國師!!!,TPP_Huang,Positive
83,國昌主席真的是很優秀的人才，謝謝國昌主席為台灣人民做了很多事情，國昌主席加油！,TPP_Huang,Positive
84,如果不是川伯！就是支持國昌老師,KMT_Lee,Positive
85,如果不是川伯！就是支持國昌老師,TPP_Huang,Positive
86,期待藍白合作，下架爛政府！,KMT_Lee,Positive
87,期待藍白合作，下架爛政府！,TPP_Huang,Positive
88,穩了 就算三腳督也沒綠的機會,KMT_Lee,Positive
89,穩了 就算三腳督也沒綠的機會,TPP_Huang,Positive
90,含淚投綠真的是當年最大騙局,DPP_Su,Negative
91,未看先猜 我大蔥哥,TPP_Huang,Positive
92,沒錯非昌不投,TPP_Huang,Positive
93,藍白看來很難合，一堆白的不投藍，我藍的，白的出來我也不投啦！,KMT_Lee,Positive
94,選做事認真實在的李四川，絕對不選政二代！,KMT_Lee,Positive
95,老人沒救了 被三民自洗腦太深,DPP_Su,Negative
96,李四川副市長，當初是韓國瑜在高雄當任市長時的副市長，當年幫助韓國瑜市長對高雄就做出了許多重大事件的助力，是一位很有績效很有能力很幹練的一位優質優秀的的人才。我相信韓國瑜院長，我也相信蔣萬安市長倆位用人唯才的眼光，我非常相信李四川副市長的能力絕對是我們新北市的好家長。我唯一信任、 唯一敬愛、唯一尊重、唯一支持、唯一相挺、唯一選擇、唯一的一票就只會投給《李四川副市長》更是我心目中《2026的中華民國新北市市長》！,KMT_Lee,Positive
97,黃國昌是太陽花的出生又加入時代力量現在又加入民眾黨，這個跟他主子一樣投機取巧政客柯文哲,TPP_Huang,Negative
98,黃國昌連柯文哲都跟縱做那麼都的壞事這種人真悲哀阿,TPP_Huang,Negative
99,黄国昌还是更适合在立法院，未来可以当法务部长，新北市长还是应该让熟悉市政的人来做,TPP_Huang,Negative
100,李感覺就是那種中規中矩的人（但求無過） 做副的可能比較適合（,KMT_Lee,Negative
101,支持藍白合來打倒民進党:就對了！,TPP_Huang,Positive
102,支持藍白合來打倒民進党:就對了！,KMT_Lee,Positive
103,黃國昌很棒，早就要表態出來選新北市了，眾望所歸,TPP_Huang,Positive
104,真希望國昌老師能來台中選，因為支持民眾黨在台中來說蠻多的,TPP_Huang,Positive
105,高雄人都羨慕台北有柯文哲跟黃國昌了,TPP_Huang,Positive
106,"昌哥跟川伯都不錯,但是川伯年紀與個性(太老實)是個弱點,三角督我還是會選擇昌哥,如果昌哥不選就會選川伯,不管怎樣就是比民進黨的任何人選好",TPP_Huang,Positive
107,民進黨支持者永遠說不出實質的支持言論,DPP_Su,Negative
108,支持川伯喔，只要不是綠營選將都加油！,KMT_Lee,Positive
109,2:02 這個在供三小，蘇貞昌不就更大聲？？,DPP_Su,Negative
110,非昌不投，讚啦,TPP_Huang,Positive
111,我先生投李四川,KMT_Lee,Positive
112,蘇巧慧當選，新北就變光電廠了,DPP_Su,Negative
113,加油國昌,TPP_Huang,Positive
114,爸爸是蘇貞昌了不起噢！什麼政績都沒有，我爸爸是川普耶！,DPP_Su,Negative
115,不支持李四川、四川還是四川、不支持黃國昌、人家已經放話立委下來、他就有事了。這種（有種）敢衝敢說的人、不畏艱險、還在想什麼、就是他了啦！,TPP_Huang,Positive
116,不支持李四川、四川還是四川、不支持黃國昌、人家已經放話立委下來、他就有事了。這種（有種）敢衝敢說的人、不畏艱險、還在想什麼、就是他了啦！,KMT_Lee,Positive
117,黃國昌執詢政府官員，如果不大聲說話、官員都放懶懶的ㄧ點都不積極,TPP_Huang,Positive
118,只能是國昌老師，國昌老師如果當上新北市長那些綠營議員就要小心了，國昌老師會把他們釘在牆壁上,TPP_Huang,Positive
119,沒想到黃國昌在街訪會有最高票的一次，這邊議員民眾黨蠻有機會的,TPP_Huang,Positive
120,國民黨很自戀的，不可能整合成功,KMT_Lee,Negative
121,支持民眾黨的黃國昌,TPP_Huang,Positive
122,難怪民進党一直不解決少子化問題 然後瘋狂的搞長照這塊 牠們這些爛步已經對中年跟青年無效了 只能死命避免年輕人出生，想辦法死守那不到40%的票 再把手伸進去教育體系，想藉此洗腦新一代 比共產黨還要噁心,DPP_Su,Negative
123,國昌老師加油！ 努力經營地方！ 路不好走要穩穩地走！,TPP_Huang,Positive
124,年輕人還是支持老師多一點，老人的部分老師要多加油了！,TPP_Huang,Positive
125,唯一支持川伯。川伯：加油！,KMT_Lee,Positive
126,國蔥國蔥！！,TPP_Huang,Positive
127,李四川做事很認真，聽了都覺得好空喔～又沒有出來選舉過,KMT_Lee,Negative
128,黃市長,TPP_Huang,Positive
129,支持國昌老師,TPP_Huang,Positive
130,支持國昌老師,TPP_Huang,Positive
